OrderID,CustomerID,OrderDate,ProductName,Quantity,UnitPrice,TotalAmount,Status
5001,1001,2024-06-01,Laptop,1,899.99,899.99,Completed
5002,1001,2024-06-05,Mouse,2,25.50,51.00,Completed
5003,1002,2024-06-02,Keyboard,1,75.00,75.00,Completed
5004,1003,2024-06-03,Monitor,2,199.99,399.98,Completed
5005,1004,2024-06-04,Laptop,1,899.99,899.99,Pending
5006,1005,2024-06-06,Tablet,1,499.99,499.99,Completed
5007,1006,2024-06-07,Mouse,3,25.50,76.50,Completed
5008,1007,2024-06-08,Keyboard,2,75.00,150.00,Completed
5009,1008,2024-06-09,Monitor,1,199.99,199.99,Cancelled
5010,1009,2024-06-10,Laptop,1,899.99,899.99,Completed
5011,1010,2024-06-11,Tablet,2,499.99,999.98,Completed
5012,1011,2024-06-12,Mouse,1,25.50,25.50,Completed
5013,1012,2024-06-13,Keyboard,1,75.00,75.00,Completed
5014,1013,2024-06-14,Monitor,1,199.99,199.99,Completed
5016,1015,2024-06-16,Tablet,1,499.99,499.99,Completed
